title,speaker,month,year,session,url,tags,excerpt
Our Sorrow Shall Be Turned into Joy,S. Mark Palmer,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/43palmer?lang=eng,,
Pressing toward the Mark,Edward Dube,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/44dube?lang=eng,,
Remember Your Way Back Home,Jos A. Teixeira,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/45teixeira?lang=eng,,
God Loves His Children,Taniela B. Wakolo,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/46wakolo?lang=eng,,
They Cannot Prevail; We Cannot Fall,Chi Hong,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/47wong?lang=eng,,
Our Personal Savior,Michael John U. Teh,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/48teh?lang=eng,,
Christ Is Risen; Faith in Him Will Move Mountains,Russell M. Nelson President,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/49nelson?lang=eng,,
Defending Our Divinely Inspired Constitution,Dallin H. Oaks,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/51oaks?lang=eng,,
Behold! I Am a God of Miracles,Ronald A. Rasband,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/52rasband?lang=eng,,
Light Cleaveth unto Light,Timothy J. Dyches,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/53dyches?lang=eng,,
Why the Covenant Path,D. Todd Christofferson,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/54christofferson?lang=eng,,
The Gospel Light of Truth and Love,Alan R. Walker,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/55walker?lang=eng,,
The Principles of My Gospel,David A. Bednar,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/56bednar?lang=eng,,
COVID-19 and Temples,Russell M. Nelson President,April,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/04/57nelson?lang=eng,,
"Pure Truth, Pure Doctrine, and Pure Revelation",Russell M. Nelson President,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/11nelson?lang=eng,,
The Greatest Possession,Jeffrey R. Holland,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/12holland?lang=eng,,
Come unto Christ and Dont Come Alone,Bonnie H. Cordon Young Women,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/13cordon?lang=eng,,
The Saviors Abiding Compassion,Ulisses Soares,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/14soares?lang=eng,,
The Love of God,D. Todd Christofferson,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/15christofferson?lang=eng,,
Becoming More in Christ: The Parable of the Slope,Clark G. Gilbert,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/16gilbert?lang=eng,,
A Faithful Search Rewarded,Patricio M. Giuffra,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/17giuffra?lang=eng,,
The Need for a Church,Dallin H. Oaks,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/18oaks?lang=eng,,
"Sustaining of General Authorities, Area Seventies, and General Officers",Henry B. Eyring,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/21eyring?lang=eng,,
With the Power of God in Great Glory,David A. Bednar,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/22bednar?lang=eng,,
Faith to Act and Become,Ciro Schmeil,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/23schmeil?lang=eng,,
Gods Love: The Most Joyous to the Soul,Susan H. Porter,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/24porter?lang=eng,,
Addressing Mental Health,Erich W. Kopischke,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/25kopischke?lang=eng,,
The Things of My Soul,Ronald A. Rasband,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/26rasband?lang=eng,,
Preparing for the Second Coming of Christ,Christoffel Golden,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/27golden?lang=eng,,
Favored of the Lord in All My Days,Moiss Villanueva,October,2021,,https://www.churchofjesuschrist.org/study/general-conference/2021/10/28villanueva?lang=eng,,
